a)
x	y
-0,697883293	0,058313554
-0,553716725	-0,234835016
-0,326890704	-0,399961302
-0,869243718	0,259984521
-0,764619034	-0,150109251
-0,521066765	-0,419930645
-0,791573294	0,267972258
-0,708784606	-0,112970402
-0,716486157	0,145188161
-0,713405537	0,041924736
-0,558958102	-0,253499416
-0,776416759	0,201399766
-0,689433296	0,019440093
-0,531745343	-0,260998847
-0,787301863	0,204399539
-0,680109231	-0,159577096
-0,727956307	0,163830838
-0,618779129	-0,166671086
-0,403603704	-0,374181677
-0,838558519	0,249672671
-0,737173542	-0,145672178
-0,501983021	-0,405580272
-0,219274987	-0,509034215
-0,912290005	0,303613686
-0,635083998	-0,021445474
-0,474085649	-0,27033216
-0,252172229	-0,395086701
-0,033616214	-0,401134784
-0,986553514	0,260453914
-0,605378594	-0,004181565
-0,757848562	0,101672626
-0,616633958	-0,225868229
-0,753346417	0,190347292
-0,648682193	-0,156674625
-0,740527123	0,16266985
-0,703789151	0,03493206
-0,548852579	-0,254967295
-0,780458969	0,201986918
-0,687816413	0,019205233
-0,530422567	-0,260530588
-0,787830973	0,204212235
-0,680436434	-0,159931091
-0,453159253	-0,393722202
-0,186912152	-0,480492575
-0,925235139	0,29219703
-0,629905944	-0,016878812
-0,748037622	0,106751525
-0,700784951	0,05729939
-0,555516319	-0,236766444
-0,327485825	-0,402149025
-0,088029617	-0,436627589
-0,964788153	0,274651036
-0,843099411	-0,177180474
-0,569883362	-0,471896925
-0,244352586	-0,586595008
-0,902258966	0,334638003
-0,639096414	-0,033855201
-0,744361435	0,11354208
-0,611131522	-0,211452593
-0,37987892	-0,405156579
-0,848048432	0,262062632
-0,749341861	-0,140051773
-0,700263256	0,156020709
-0,719894698	0,037591716
-0,562156657	-0,259388175
-0,775137337	0,20375527
-0,670606484	-0,15520093
-0,447580556	-0,3861953
-0,820967778	0,25447812
-0,725726759	-0,13498374
-0,709709296	0,153993496
-0,716116281	0,038402602
-0,559609415	-0,257260535
-0,322398941	-0,419361773
-0,871040424	0,267744709
-0,769088606	-0,144930191
-0,526535264	-0,417782387
-0,789385894	0,267112955
-0,684245642	-0,006845182
-0,517288615	-0,278900595
-0,793084554	0,211560238
-0,687368356	-0,156448041
-0,459820734	-0,393847853
-0,191924617	-0,483252662
-0,923230153	0,293301065
-0,818975342	-0,146383252
-0,672409863	0,158553301
-0,731036055	0,03657868
-0,570218874	-0,264614625
-0,327520494	-0,429194665
-0,077237709	-0,457196143
-0,969104916	0,282878457
-0,849671119	-0,172654339
-0,576688315	-0,471085745
-0,249848821	-0,588700492
0,045595093	-0,547351903
-1,018238037	0,318940761
-0,592704785	-0,027576304
-0,762918086	0,111030522
-0,694832766	0,055587791
-0,722066894	0,077764883
-0,579876793	-0,229725446
-0,348816184	-0,406542056
-0,102483477	-0,448498436
-0,959006609	0,279399374
-0,616397356	-0,01175975
-0,463758091	-0,255496352
-0,814496764	0,202198541
-0,699896957	-0,172127814
-0,720041217	0,168851126
-0,614771775	-0,159689631
-0,403350697	-0,36727283
-0,159637398	-0,44046763
0,05486263	-0,398610357
-1,021945052	0,259444143
-0,591221979	-0,003777657
